sno,Test Case,Remarks (positive/negative)
1,"
Verifing Accessed working framework",NA
2,Verify Advancement for Maintenance,NA
3, Verifing Issued Trusted Realms,NA
4,Creating On-Demand Authentication,NA
5,Confirm Authentication Manager and Help Desk Administration,NA
6,Check Bulk Administration Utility ,NA
7,Check Administrator access points integrity,NA
8,Check Risk-Based Authentication ,NA
9,Adding a Password Dictionary and Exporting a Password ,NA
10,Testing Web Tier paradigmn,NA
11,Testing VMware Virtual access,NA
12,Testing Hyper-V Virtual Apis,NA
13,Assessing the Accessibility of a Website for Development devices,NA
14,Evaluating the Accessibility of a Website for Environment,NA
15,Checking for ongoing Service Packs and Patches,NA
16,Checking  of Desk Administration ,NA
17,Verification of SecurID RADIUS server,NA
18,Checking for High Availability Tokencodes ,NA
19,Infusing radius highlights ,NA
20,Dealing with the Cloud Connection ,NA
21,Adding a Security Domain ,NA
22,Hanging tight for UI and prompts ,NA
23,Checking past renditions and fabricates ,NA
24,Check of Multifactor Authentication ,NA
25,Testing web riding movement ,NA
26,Including the firewall organization ,NA
27,Check of strategy duing new item acknowledgment ,NA
28,Verifing at administrations while transfering to new framework,NA
